event_id,fish_id,length,weight,height,fish_species,lep_cop,lep_chal,lep_motile,lep_unknown,cal_cop,cal_chal,cal_motile,cal_unknown,unknown_cop,unknown_chal,unknown_motile,unknown_unknown
ccfs_2018-05-163,ccfs_95,58.0,,10.0,Chum Salmon,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ccfs_2018-05-163,ccfs_96,70.0,,13.0,Chum Salmon,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ccfs_2018-05-163,ccfs_97,59.0,,9.0,Chum Salmon,3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0
ccfs_2018-05-163,ccfs_98,67.0,,12.0,Chum Salmon,2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ccfs_2018-05-163,ccfs_99,64.0,,10.0,Chum Salmon,14,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
ccfs_2018-05-163,ccfs_100,70.0,,11.0,Chum Salmon,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
ccfs_2018-05-163,ccfs_101,59.0,,10.0,Chum Salmon,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ccfs_2018-05-163,ccfs_102,62.0,,10.0,Chum Salmon,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
ccfs_2018-05-163,ccfs_103,69.0,,12.0,Chum Salmon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ccfs_2018-05-163,ccfs_104,64.0,,10.0,Chum Salmon,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
ccfs_2018-05-163,ccfs_105,67.0,,9.0,Chum Salmon,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
ccfs_2018-05-163,ccfs_106,63.0,,9.0,Chum Salmon,8,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
ccfs_2018-05-163,ccfs_107,60.0,,10.0,Chum Salmon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
ccfs_2018-05-163,ccfs_108,67.0,,12.0,Chum Salmon,4,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ccfs_2018-05-163,ccfs_109,66.0,,11.0,Chum Salmon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
ccfs_2018-05-163,ccfs_110,64.0,,11.0,Chum Salmon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ccfs_2018-05-163,ccfs_111,63.0,,11.0,Chum Salmon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
ccfs_2018-05-163,ccfs_112,65.0,,11.0,Chum Salmon,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
ccfs_2018-05-163,ccfs_113,66.0,,10.0,Chum Salmon,4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ccfs_2018-05-163,ccfs_114,57.0,,9.0,Chum Salmon,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ccfs_2018-05-163,ccfs_115,66.0,,10.0,Chum Salmon,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ccfs_2018-05-163,ccfs_116,67.0,,11.0,Chum Salmon,1,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0
